Country,Year,All Causes
Afghanistan,2012,"1,378.2"
Afghanistan,2000,"1,660.5"
Albania,2012,766.1
Albania,2000,986.5
Algeria,2012,862
Algeria,2000,935.8
Angola,2012,"1,779.4"
Angola,2000,"2,147.1"
Argentina,2012,586.8
Argentina,2000,642.3
Armenia,2012,941.7
Armenia,2000,837.2
Australia,2012,344.7
Australia,2000,439.9
Austria,2012,402.7
Austria,2000,509.1
Azerbaijan,2012,768.8
Azerbaijan,2000,"1,027.4"
Bahamas,2012,632.9
Bahamas,2000,744.7
Bahrain,2012,587.7
Bahrain,2000,722.4
Bangladesh,2012,847.5
Bangladesh,2000,"1,043.7"
Barbados,2012,493.3
Barbados,2000,612.7
Belarus,2012,802.1
Belarus,2000,980
Belgium,2012,423.5
Belgium,2000,525.2
Belize,2012,657.2
Belize,2000,780.7
Benin,2012,"1,436.8"
Benin,2000,"1,726.5"
Bhutan,2012,901.9
Bhutan,2000,"1,294.1"
Bolivia (Plurinational State of),2012,961.5
Bolivia (Plurinational State of),2000,"1,170"
Bosnia and Herzegovina,2012,574.9
Bosnia and Herzegovina,2000,672.6
Botswana,2012,"1,255.3"
Botswana,2000,"2,262.1"
Brazil,2012,686.8
Brazil,2000,816.6
Brunei Darussalam,2012,576
Brunei Darussalam,2000,591.2
Bulgaria,2012,708.1
Bulgaria,2000,866.1
Burkina Faso,2012,"1,551.5"
Burkina Faso,2000,"2,007"
Burundi,2012,"1,580.9"
Burundi,2000,"2,029"
Cote d'Ivoire,2012,"1,779.3"
Cote d'Ivoire,2000,"2,078.5"
Cabo Verde,2012,678.4
Cabo Verde,2000,923.6
Cambodia,2012,683.7
Cambodia,2000,"1,107.2"
Cameroon,2012,"1,550"
Cameroon,2000,"1,799.8"
Canada,2012,372
Canada,2000,461.5
Central African Republic,2012,"1,870.9"
Central African Republic,2000,"2,311.7"
Chad,2012,"1,897.9"
Chad,2000,"2,199.3"
Chile,2012,444
Chile,2000,541.1
China,2012,668.2
China,2000,821.2
Colombia,2012,504.9
Colombia,2000,645.7
Comoros,2012,"1,322.5"
Comoros,2000,"1,469.8"
Congo,2012,"1,388.2"
Congo,2000,"1,754.8"
Costa Rica,2012,468.8
Costa Rica,2000,528.4
Croatia,2012,548.1
Croatia,2000,710.3
Cuba,2012,500.3
Cuba,2000,564.2
Cyprus,2012,375.8
Cyprus,2000,595.3
Czech Republic,2012,526.8
Czech Republic,2000,677.1
Democratic People's Republic of Korea,2012,960.6
Democratic People's Republic of Korea,2000,"1,173.5"
Democratic Republic of the Congo,2012,"1,782.2"
Democratic Republic of the Congo,2000,"1,978.5"
Denmark,2012,458.1
Denmark,2000,566
Djibouti,2012,"1,363.1"
Djibouti,2000,"1,570.1"
Dominican Republic,2012,539.2
Dominican Republic,2000,652.8
Ecuador,2012,590.7
Ecuador,2000,689
Egypt,2012,889.6
Egypt,2000,995.3
El Salvador,2012,728.9
El Salvador,2000,801.4
Equatorial Guinea,2012,"1,619.4"
Equatorial Guinea,2000,"1,908.2"
Eritrea,2012,"1,296.6"
Eritrea,2000,"2,458.9"
Estonia,2012,576.2
Estonia,2000,861.3
Ethiopia,2012,"1,129.7"
Ethiopia,2000,"1,798.7"
Fiji,2012,973.2
Fiji,2000,"1,101.9"
Finland,2012,414.3
Finland,2000,527.9
France,2012,369.1
France,2000,470.6
Gabon,2012,"1,171.4"
Gabon,2000,"1,349.5"
Gambia,2012,"1,316.1"
