Causes, All ages (total) years,5-14 years,15-29  years,30-49 years,50-59  years,60-69  years,70+  years
 All Causes,1039.1,698,800.4,1729.5,2857.8,5650.7,17810.7
 Communicable &amp; other Group I,630.8,429.8,437.6,1117.4,1089.5,1660.6,5364.3
 Infectious and parasitic diseases,355.3,325.4,287.8,901,802.4,932.6,1867.5
 Tuberculosis,24.4,9.6,8.6,49.7,134.9,265.6,509.3
 STDs excluding HIV,5.3,4.9,0.9,1.2,1.5,2.5,5.5
 Syphilis,5.1,4.8,0.4,0.6,0.9,1.7,3.6
 Chlamydia,0,0,0.1,0.1,0.1,0.2,0.4
 Gonorrhoea,0,0,0.1,0.1,0.1,0.1,0.4
 Trichomoniasis,0,0,0,0,0,0,0
 Other STDs,0.1,0.1,0.3,0.3,0.3,0.4,1.1
 HIV/AIDS,121.9,75.3,144,687.9,394.5,204.4,122.2
 Diarrhoeal diseases,67.5,77.8,35.5,56.1,93.5,201.7,638.5
 Childhood-cluster diseases,13,10.9,1,0.4,0.7,0.2,0.4
 Whooping cough,4.2,1.2,0.2,0.2,0.3,0,0
 Diphtheria,0.2,0.7,0,0,0,0,0
 Measles,5.4,8.8,0.8,0.2,0,0,0
 Tetanus,3.3,0.2,0,0.1,0.2,0.2,0.4
 Meningitis,27.6,47.6,33.8,30.3,55.3,84,150.8
 Encephalitis,2.1,3.4,3.1,3,3.5,4.6,21.3
 Acute hepatitis B,2.1,0.7,1.9,5.5,15.9,21.1,32.6
 Acute hepatitis C,0.3,0.1,0.1,0.8,2.1,2.9,5.6
 Parasitic and vector diseases,69.4,41.8,27.9,37.9,56.6,81.1,212.2
 Malaria,62.1,22.6,17.8,24.3,34.3,49.8,154.6
 Trypanosomiasis,2,5.5,5.1,4.2,3,1.2,0.4
 Chagas disease,0,0,0,0,0,0,0
 Schistosomiasis,2,0,0.8,6.1,14.7,23.7,46.6
 Leishmaniasis,1.5,5.7,2.1,1.4,1.8,2,4
 Lymphatic filariasis,0,0,0,0,0,0,0
 Onchocerciasis,0,0,0,0,0,0,0
 Leprosy,0,0,0,0,0,0,0
 Dengue,0.2,0.5,0.3,0.3,0.5,0.8,1.8
 Trachoma,0,0,0,0,0,0,0
 Rabies,1.7,7.4,1.7,1.5,2.5,3.5,4.7
 Intestinal nematode infections,0.1,0.4,0,0,0,0,0.3
 Ascariasis,0.1,0.4,0,0,0,0,0.3
 Trichuriasis,0,0,0,0,0,0,0
 Hookworm disease,0,0,0,0,0,0,0
 Other infectious diseases,21.7,53.2,30.9,28.2,43.8,64.7,168.9
 Respiratory infections,116.7,59.5,48,80.4,211,555.8,2783.7
 Lower respiratory infections,116.4,59.2,47.9,80.2,210.6,554.6,2778.1
 Upper respiratory infections,0.2,0.2,0,0.2,0.4,1,5
 Otitis media,0.1,0.2,0,0,0.2,0.2,0.6
 Maternal conditions,19.2,0,71.1,95.4,0,0,0
 Neonatal conditions,101.9,0,0,0,0,0,0
 Preterm birth complications,41.6,0,0,0,0,0,0
 Birth asphyxia and birth trauma,37.7,0,0,0,0,0,0
 Neonatal sepsis and infections,19.5,0,0,0,0,0,0
 Other neonatal conditions,3.1,0,0,0,0,0,0
 Nutritional deficiencies,37.7,44.9,30.8,40.6,76,172.1,713
 Protein-energy malnutrition,31.9,37.6,20.3,30.8,62.2,142,612.5
 Iodine deficiency,0.3,0.2,1,0.6,0.4,0.4,0.8
 Vitamin A deficiency,0,0,0,0,0,0,0
 Iron-deficiency anaemia,5.5,7.1,9.4,9.2,13.3,29.2,97.7
 Other nutritional deficiencies,0.1,0,0,0.2,0.2,0.4,2
 Noncommunicable diseases,308.8,130,161.7,423.4,1551.9,3694.2,11639.1
 Malignant neoplasms,47.2,8.2,20.6,100.3,346.6,679.9,1495.1
 Mouth and oropharynx cancers,1.8,0.2,0.8,3.8,16.1,29.7,42.7
 Oesophagus cancer,2.4,0,0.2,2.9,19.7,46.2,98.2
 Stomach cancer,2,0,0.3,3.9,16,34.8,67.9
 Colon and rectum cancers,2.5,0,0.7,5.3,20.8,41,73.1
 Liver cancer,4.1,0.4,2.9,12.7,33.9,52.5,85.6
 Pancreas cancer,0.9,0,0.1,1.3,8.6,17.9,29.4
" Trachea, bronchus, lung cancers",1.8,0,0.2,2.1,17.4,36.5,62.6
 Melanoma and other skin cancers,0.7,0,0.2,1.1,5.3,11.6,29
 Breast cancer,5.2,0,2.6,19.8,44.1,57.3,75.7
 Cervix uteri cancer,6.1,0,1.1,15.8,58.5,92.3,126.3
 Corpus uteri cancer,0.4,0,0,0.3,2.3,6.9,15.2
 Ovary cancer,1.1,0,0.5,2.7,9.4,14.7,21.8
 Prostate cancer,4.3,0,0.2,0.6,1.3,44.8,434.2
 Bladder cancer,0.8,0,0.1,1,5.5,14,35.3
" Lymphomas, multiple myeloma",2.3,1.4,2.1,4.5,13.2,29.5,54.6
 Leukaemia,1.6,1.2,2,3.5,9.4,16.4,29
 Other malignant neoplasms,9.4,5.1,6.6,18.8,65.2,133.8,214
 Other neoplasms,1.8,0.9,1.2,3.8,11.7,23.1,50.9
 Diabetes mellitus,20.5,3.4,5.6,19.9,121.7,345.1,922.8
" Endocrine, blood, immune disorders",12.9,27.1,15.9,14.8,32.9,68.3,222.4
 Mental and behavioral disorders,2.1,1.3,3.6,6.3,11.3,14.4,33.2
 Unipolar depressive disorders,0,0,0,0,0,0,0
 Bipolar disorder,0,0,0,0,0,0,0
 Schizophrenia,0.3,0,0.2,1.2,1.9,2.5,5.1
 Alcohol use disorders,0.2,0,0.1,0.7,2.4,3.2,4.4
 Drug use disorders,1.2,1,2.8,3.5,5.3,5.5,12.9
 Anxiety disorders,0,0,0,0,0,0,0
 Eating disorders,0.1,0.2,0.2,0.4,0.4,0.6,2.9
 Pervasive developmental disorders,0,0,0,0,0,0,0
 Childhood behavioural disorders,0,0,0,0,0,0,0
 Idiopathic intellectual disability,0,0,0,0,0,0,0
 Other mental and behavioural disorders,0.2,0.1,0.1,0.5,1.4,2.5,8.1
 Neurological conditions,15.5,22.7,24.5,24.9,44,77.6,294.5
 Alzheimer's disease and other dementias,1.4,1.4,0.4,0.8,2.2,9.7,97.8
 Parkinson's disease,1.1,0,0.2,0.5,2.8,13.4,79.7
 Epilepsy,9.6,16.8,19.3,18.2,24.2,28.5,58.3
 Multiple sclerosis,0.1,0,0.2,0.6,1,1.3,2
 Migraine,0,0,0,0,0,0,0
 Non-migraine headache,0,0,0,0,0,0,0
 Other neurological conditions,3.3,4.6,4.5,4.9,13.7,24.5,56.7
 Sense organ diseases,0,0,0,0,0,0,0
 Glaucoma,0,0,0,0,0,0,0
 Cataracts,0,0,0,0,0,0,0
 Refractive errors,0,0,0,0,0,0,0
 Macular degeneration,0,0,0,0,0,0,0
 Other vision loss,0,0,0,0,0,0,0
 Other hearing loss,0,0,0,0,0,0,0
 other sense organ disorders,0,0,0,0,0,0,0
 Cardiovascular diseases,111.3,15.7,30.3,114.8,568.8,1555.8,5858.6
 Rheumatic heart disease,3.7,2.7,3.9,7.6,15.5,34.9,113.3
 Hypertensive heart disease,9.1,0.7,1.5,8,44.7,123.9,502.4
 Ischaemic heart disease,35,2.7,9,35.7,192.9,516.2,1831.8
 Stroke,48.9,4.9,9,45,246.8,705.3,2747.1
" Cardiomyopathy, myocarditis, endocarditis",6.5,2.6,3.5,9.7,33.3,75.3,250.8
 Other circulatory diseases,8.1,2.3,3.4,8.9,35.7,100.2,413.3
 Respiratory diseases,20.4,7.4,11.2,20.8,75.5,250.9,930.2
 Chronic obstructive pulmonary disease,9.3,1.3,2.6,6.4,34.4,136.1,528.5
