Causes, All ages (total) years,5-14 years,15-29  years,30-49 years,50-59  years,60-69  years,70+  years
 All Causes,670.9,64.6,247,482.9,1304.9,2832.7,11917.4
 Communicable &amp; other Group I,70.2,14.2,25.9,64.5,104,177.7,941.1
 Infectious and parasitic diseases,26.2,8.3,13.6,44.1,64.8,91.6,285.8
 Tuberculosis,2.1,0.2,1.3,3.9,7.3,10.5,21.1
 STDs excluding HIV,0.3,0.2,0.1,0.2,0.3,0.4,0.9
 Syphilis,0.2,0.2,0,0,0.1,0.1,0.3
 Chlamydia,0,0,0,0,0,0,0
 Gonorrhoea,0,0,0,0,0,0,0
 Trichomoniasis,0,0,0,0,0,0,0
 Other STDs,0.1,0,0.1,0.1,0.1,0.2,0.6
 HIV/AIDS,6.4,1.4,7.4,28.3,19.2,10.1,4.1
 Diarrhoeal diseases,4.3,1.6,0.7,1.6,3.9,10.1,73.1
 Childhood-cluster diseases,0.2,0.2,0,0.1,0.1,0.1,0.2
 Whooping cough,0.2,0,0,0,0,0,0
 Diphtheria,0,0,0,0,0,0,0
 Measles,0,0,0,0,0,0,0
 Tetanus,0.1,0,0,0,0.1,0.1,0.2
 Meningitis,1,1.4,0.8,1.1,1.6,2.1,3.9
 Encephalitis,0.1,0.1,0.1,0.1,0.2,0.2,0.3
 Acute hepatitis B,0.3,0.1,0.2,0.6,1.4,1.6,2.3
 Acute hepatitis C,1.4,0,0,1.3,11.3,10.4,6.9
 Parasitic and vector diseases,1.4,1,0.6,1.5,3.8,7.6,16.2
 Malaria,0.1,0.2,0.1,0.1,0.1,0.1,0.2
 Trypanosomiasis,0,0,0,0,0,0,0
 Chagas disease,0.8,0,0,0.6,2.4,5.4,12.1
 Schistosomiasis,0.1,0,0,0,0.2,0.5,0.8
 Leishmaniasis,0.1,0.1,0.1,0.1,0.1,0.2,0.4
 Lymphatic filariasis,0,0,0,0,0,0,0
 Onchocerciasis,0,0,0,0,0,0,0
 Leprosy,0,0,0,0,0.1,0.1,0.3
 Dengue,0.3,0.5,0.3,0.5,0.6,1.1,2.5
 Trachoma,0,0,0,0,0,0,0
 Rabies,0,0.2,0,0,0.1,0,0
 Intestinal nematode infections,0,0,0,0,0,0,0
 Ascariasis,0,0,0,0,0,0,0
 Trichuriasis,0,0,0,0,0,0,0
 Hookworm disease,0,0,0,0,0,0,0
 Other infectious diseases,8.7,1.9,2.2,5.5,16.1,38.3,156.7
 Respiratory infections,27.4,4.1,6,14.1,33.8,73.7,550.6
 Lower respiratory infections,27.2,4.1,6,13.9,33.6,73.5,549.3
 Upper respiratory infections,0.1,0,0,0,0,0.2,1.1
 Otitis media,0,0,0,0,0,0,0.2
 Maternal conditions,1.1,0.1,4.8,4,0.1,0,0
 Neonatal conditions,10.2,0,0,0,0,0,0
 Preterm birth complications,5.2,0,0,0,0,0,0
 Birth asphyxia and birth trauma,2.2,0,0,0,0,0,0
 Neonatal sepsis and infections,1.6,0,0,0,0,0,0
 Other neonatal conditions,1.2,0,0,0,0,0,0
 Nutritional deficiencies,5.1,1.7,1.4,2.3,5.2,12.4,104.7
 Protein-energy malnutrition,3.1,0.8,0.6,1.2,2.9,7.1,65.3
 Iodine deficiency,0,0,0,0,0,0,0.4
 Vitamin A deficiency,0,0,0,0,0,0,0
 Iron-deficiency anaemia,1.6,0.9,0.6,0.9,1.9,4.2,31.2
 Other nutritional deficiencies,0.4,0,0.1,0.2,0.5,1,7.8
 Noncommunicable diseases,535.5,28,61.4,275.8,1068.9,2517.7,10612
 Malignant neoplasms,134,7.5,14.3,78,355.1,854.9,2297.2
 Mouth and oropharynx cancers,2.7,0,0.2,2.1,11.7,20.2,37
 Oesophagus cancer,3.8,0,0,2,13.5,30.7,60.5
 Stomach cancer,7,0,0.6,5.5,19.6,44.9,116.5
 Colon and rectum cancers,12.5,0,0.6,7,32.2,74.6,225.7
 Liver cancer,5.9,0.2,0.4,2.9,21.3,42.9,89.5
 Pancreas cancer,7.6,0,0.1,2.7,19.5,53.4,135.1
" Trachea, bronchus, lung cancers",27.4,0,0.3,7.6,69,206.7,497.1
 Melanoma and other skin cancers,2.8,0,0.3,2,7.4,16.3,51.8
 Breast cancer,10.2,0,0.4,11.3,36.2,60.1,115.4
 Cervix uteri cancer,3.8,0,0.6,7.5,14.9,19.7,29.5
 Corpus uteri cancer,1.5,0,0,0.4,3.5,11.6,22
 Ovary cancer,3,0,0.3,2.3,9.5,19,36.4
 Prostate cancer,9.2,0,0.1,0.3,7,39,275.1
 Bladder cancer,3.2,0,0,0.5,4.7,15.9,80
" Lymphomas, multiple myeloma",7.2,0.5,1.5,4,15.5,42.3,130.6
 Leukaemia,5.6,3.3,3.3,4.1,9.6,25.8,91.7
 Other malignant neoplasms,20.6,3.3,5.5,15.7,60.1,131.5,303.2
 Other neoplasms,4.3,0.7,0.9,2.7,8.6,20,80.3
 Diabetes mellitus,31.8,0.4,1.9,15.7,79.9,202.4,557.6
" Endocrine, blood, immune disorders",8.4,2.2,3.1,7.4,18.2,36.3,132.3
 Mental and behavioral disorders,7.6,0.5,6.8,20,32.3,28,43.2
 Unipolar depressive disorders,0.2,0,0,0.2,0.3,0.6,3.6
 Bipolar disorder,0,0,0,0,0.1,0.2,0.3
 Schizophrenia,0.2,0,0,0.2,0.6,0.8,1.8
 Alcohol use disorders,3.2,0,1.1,8.8,17.9,17.4,12.1
 Drug use disorders,3.1,0.4,5.2,10.1,11.6,5.9,6.9
 Anxiety disorders,0,0,0,0,0,0,0.1
 Eating disorders,0.3,0,0.2,0.3,0.3,0.6,5.1
 Pervasive developmental disorders,0,0,0,0,0,0,0
 Childhood behavioural disorders,0,0,0,0,0,0,0
 Idiopathic intellectual disability,0.1,0,0.1,0.2,0.3,0.5,0.7
 Other mental and behavioural disorders,0.6,0,0.1,0.4,1,2.1,12.9
 Neurological conditions,44.1,4.6,6.2,9.6,24.1,69.7,1161.3
 Alzheimer's disease and other dementias,33.2,0.2,0.1,0.4,3.4,25.4,978.7
 Parkinson's disease,3.7,0,0,0.1,0.9,7,113.1
 Epilepsy,1.2,1,1.9,2.6,2.8,3.3,6.5
 Multiple sclerosis,0.6,0,0,0.7,2.5,5.1,5.6
 Migraine,0,0,0,0,0,0,0
 Non-migraine headache,0,0,0,0,0,0,0
 Other neurological conditions,5.3,3.5,4.2,5.7,14.5,28.8,57.4
 Sense organ diseases,0,0,0,0,0,0,0
