Diseases,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
, Both sexes, Female, Female, Female, Female, Female, Female, Female, Male, Male, Male, Male, Male, Male, Male, Both sexes, Female, Female, Female, Female, Female, Female, Female, Male, Male, Male, Male, Male, Male, Male
Causes, All ages (total) years,5-14 years,15-29  years,30-49 years,50-59  years,60-69  years,70+  years, All ages (total) years,5-14 years,15-29  years,30-49 years,50-59  years,60-69  years,70+  years, All ages (total) years, All ages (total) years,5-14 years,15-29  years,30-49 years,50-59  years,60-69  years,70+  years, All ages (total) years,5-14 years,15-29  years,30-49 years,50-59  years,60-69  years,70+  years, All ages (total) years
 All Causes,702.6,31.3,55,136.4,454.7,1226.5,6097,660.3,37.9,79.1,200.8,715.7,1884.8,7383.9,742.9,656.1,44.6,84.5,172.8,538.8,1482.1,6355.3,607.4,59.3,126.7,276.6,855.4,2335.9,7905.1,702.7
 Communicable &amp; other Group I,57,6.5,9.2,13.8,19.9,41.9,366.8,52.6,6.8,8,23.1,37.1,73.9,424.7,61.2,83.2,10.4,14.4,21.7,31.1,70.4,406.1,76.7,11.1,13.1,31,56.8,120.7,487.7,89.3
 Infectious and parasitic diseases,19.9,4.5,5.2,9.3,14.3,22.5,71.4,15.8,4.9,6.6,20.4,28.2,41.9,97.2,23.7,30.1,6.5,8.1,14.7,22.8,42.2,99,24.3,7.1,10.6,27.6,45.5,79,159.8,35.7
 Tuberculosis,5.9,0.2,1.5,3.3,5.5,8.7,18.9,4.1,0.2,1.5,5.8,12.1,20.2,43.4,7.6,11.4,0.3,3.6,8.9,12.7,22.4,38.1,8.2,0.2,4.1,15,26.2,49,93.1,14.5
 STDs excluding HIV,0.2,0.1,0.1,0.1,0.1,0.3,0.6,0.2,0,0,0,0.1,0.1,0.4,0.2,0.3,0.1,0.1,0.1,0.3,0.4,0.7,0.4,0.1,0.1,0.1,0.2,0.4,0.9,0.3
 Syphilis,0.2,0,0,0,0,0.1,0.1,0.1,0,0,0,0.1,0.1,0.4,0.2,0.3,0.1,0,0,0,0.1,0.1,0.2,0.1,0.1,0.1,0.2,0.4,0.9,0.3
 Chlamydia,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0,0,0,0,0,0,0,0
 Gonorrhoea,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0
 Trichomoniasis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Other STDs,0,0,0,0,0.1,0.1,0.4,0.1,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0.4,0.1,0,0,0,0,0,0,0
 HIV/AIDS,3.2,0.2,1.5,3.5,1.4,0.2,0,1.7,0.2,2.4,10.3,5.4,1.4,0.2,4.6,1.7,0,1,1.6,0.9,0.1,0,0.9,0,1.8,5.2,3,0.6,0.1,2.4
 Diarrhoeal diseases,2,0.3,0.2,0.2,0.4,1.1,9.3,2,0.4,0.2,0.3,0.6,1.3,6.7,2,5.7,1.1,0.5,0.5,1.1,2.6,15.4,5.4,1,0.4,0.6,1.2,3.2,13.2,5.9
 Childhood-cluster diseases,0.5,0.3,0,0,0.1,0.1,0.3,0.4,0.4,0.1,0,0.1,0.1,0.2,0.7,1.4,0.7,0.1,0.1,0.1,0.3,0.6,1.1,0.8,0.1,0.1,0.2,0.5,0.7,1.7
