Causes, All ages (total) years,5-14 years,15-29  years,30-49 years,50-59  years,60-69  years,70+  years
 All Causes,652.7,226.9,327.5,605.2,1820.9,4468.7,16252.3
 Communicable &amp; other Group I,203.3,91.5,76.6,145.1,256.5,575.7,1962.6
 Infectious and parasitic diseases,80.2,63.6,39,94.7,175.3,350.5,839.1
 Tuberculosis,16.5,2.6,6.5,31.8,78.4,174.8,344.1
 STDs excluding HIV,1.5,1.1,0.2,0.4,0.6,1,3.8
 Syphilis,1.4,1.1,0.1,0.2,0.3,0.7,2.2
 Chlamydia,0,0,0,0,0.1,0.1,0.4
 Gonorrhoea,0,0,0,0,0,0.1,0.3
 Trichomoniasis,0,0,0,0,0,0,0
 Other STDs,0,0,0.1,0.1,0.1,0.2,0.9
 HIV/AIDS,5.6,2.1,5.8,28.1,16.4,6.9,2.9
 Diarrhoeal diseases,22.9,14.8,6,9,18.1,52.7,209.6
 Childhood-cluster diseases,7.7,3.1,0.3,0.4,1.2,1.2,3
 Whooping cough,1.9,0.5,0,0,0.2,0,0
 Diphtheria,0.1,0.2,0,0,0,0,0
 Measles,3.8,2.1,0.1,0,0,0,0
 Tetanus,1.9,0.4,0.2,0.3,0.9,1.2,3
 Meningitis,6.2,8.1,4.1,4.6,9.7,17.5,50.2
 Encephalitis,1.9,2.6,1.3,1.5,3.1,5.3,15.8
 Acute hepatitis B,1.8,0.2,0.3,2.2,12.2,22.4,38.7
 Acute hepatitis C,0.3,0,0,0.4,1.5,3.4,9
 Parasitic and vector diseases,5.3,11.2,5.1,6.2,10.2,16,33.7
 Malaria,2.9,4.4,2.9,3.3,4.7,7.1,17.7
 Trypanosomiasis,0,0.1,0,0,0,0,0
 Chagas disease,0,0,0,0,0,0,0
 Schistosomiasis,0.4,0,0.2,0.9,2,3.7,6.2
 Leishmaniasis,1.1,3.6,1.3,1,1.6,2.1,3.9
 Lymphatic filariasis,0,0,0,0,0,0,0
 Onchocerciasis,0,0,0,0,0,0,0
 Leprosy,0,0,0,0,0,0,0
 Dengue,0.2,0.2,0.1,0.2,0.4,0.7,2.6
 Trachoma,0,0,0,0,0,0,0
 Rabies,0.7,2.9,0.6,0.7,1.4,2.4,3.3
 Intestinal nematode infections,0,0.2,0,0,0,0,0.1
 Ascariasis,0,0.2,0,0,0,0,0.1
 Trichuriasis,0,0,0,0,0,0,0
 Hookworm disease,0,0,0,0,0,0,0
 Other infectious diseases,10.5,17.8,9.4,10.3,23.9,49.2,127.9
 Respiratory infections,50.4,20.3,14.8,23.7,68.2,190.7,955.9
 Lower respiratory infections,50.3,20.1,14.8,23.7,68,190.3,954.6
 Upper respiratory infections,0,0,0,0,0,0.2,0.9
 Otitis media,0.1,0,0,0,0,0.2,0.3
 Maternal conditions,4.9,0,18,20.3,0,0,0
 Neonatal conditions,59.2,0,0,0,0,0,0
 Preterm birth complications,25.9,0,0,0,0,0,0
 Birth asphyxia and birth trauma,18.2,0,0,0,0,0,0
 Neonatal sepsis and infections,12,0,0,0,0,0,0
 Other neonatal conditions,3.1,0,0,0,0,0,0
 Nutritional deficiencies,8.6,7.7,4.7,6.5,13,34.5,167.8
 Protein-energy malnutrition,8.2,7.2,4.1,5.9,12.4,32.7,159.4
 Iodine deficiency,0,0,0.2,0,0,0,0.4
 Vitamin A deficiency,0,0,0,0,0,0,0
 Iron-deficiency anaemia,0.4,0.5,0.5,0.4,0.5,1.5,6.9
 Other nutritional deficiencies,0,0,0,0,0,0.2,1.1
 Noncommunicable diseases,368.3,60.4,87.1,300.3,1375.6,3633.7,13689.3
 Malignant neoplasms,59.4,13.3,17.8,86.6,358.6,738.2,1397.7
 Mouth and oropharynx cancers,2.9,0.2,0.8,5.1,21.1,38.6,52.4
 Oesophagus cancer,2.6,0,0.3,3.4,16.3,36.3,66.9
 Stomach cancer,3.4,0,0.5,3.9,18.4,42.9,106.3
 Colon and rectum cancers,3.4,0,1,5.4,21.6,42.9,81.2
 Liver cancer,4.6,0.5,0.3,4.2,34.6,74,106.7
 Pancreas cancer,1.2,0,0,1.2,9,19.2,28.5
" Trachea, bronchus, lung cancers",4.7,0,0.2,4.3,32.9,73.7,124.8
 Melanoma and other skin cancers,0.3,0,0,0.4,1.7,3.6,10.8
 Breast cancer,6.8,0,1.3,20.6,51,69.1,87.3
 Cervix uteri cancer,1.3,0,0.1,2.9,11.6,15.5,16.5
 Corpus uteri cancer,0.4,0,0,0.3,2.4,6.5,10.7
 Ovary cancer,1.4,0,0.3,2.5,11.7,18.9,22
 Prostate cancer,2,0,0,0.1,0.5,15.3,132.5
 Bladder cancer,2.2,0,0,0.8,9.4,32.7,93.7
" Lymphomas, multiple myeloma",4.3,2,2.1,5.5,22.8,50.7,97.8
 Leukaemia,3.3,3.6,3.5,4.7,11.5,23.4,44.3
 Other malignant neoplasms,14.9,7.2,7,21.1,81.9,174.9,315
 Other neoplasms,2.3,0.7,0.9,3.7,12.7,26,47.4
 Diabetes mellitus,18.9,1,2.2,10,68.2,217.7,804
" Endocrine, blood, immune disorders",8,6,5.2,6.6,19.1,52.7,205.2
 Mental and behavioral disorders,2.4,0.9,3.6,5.8,9.7,11.8,37
 Unipolar depressive disorders,0,0,0,0,0,0,0
 Bipolar disorder,0,0,0,0,0,0,0
 Schizophrenia,0.2,0,0,0.5,0.9,1.1,4
 Alcohol use disorders,0.1,0,0,0.1,0.4,0.6,1
 Drug use disorders,1.8,0.8,3.3,4.7,7.3,8.2,22.3
 Anxiety disorders,0,0,0,0,0,0,0
 Eating disorders,0.1,0,0.2,0.2,0.3,0.5,2.6
 Pervasive developmental disorders,0,0,0,0,0,0,0
 Childhood behavioural disorders,0,0,0,0,0,0,0
 Idiopathic intellectual disability,0,0,0,0,0,0,0
 Other mental and behavioural disorders,0.2,0,0.1,0.3,0.8,1.6,7
 Neurological conditions,13.8,8.9,8.1,12.6,40.4,99.6,454.2
 Alzheimer's disease and other dementias,1.5,0.4,0.2,0.4,1.3,6.3,95.8
 Parkinson's disease,0.5,0,0,0.1,0.7,4,29.1
 Epilepsy,2.7,3.3,3.3,3.8,5.8,10.6,44.5
 Multiple sclerosis,0.1,0,0.1,0.4,0.7,1,3.2
 Migraine,0,0,0,0,0,0,0
 Non-migraine headache,0,0,0,0,0,0,0
 Other neurological conditions,9,5.3,4.4,7.9,32,77.6,281.7
 Sense organ diseases,0,0,0,0,0,0,0
 Glaucoma,0,0,0,0,0,0,0
 Cataracts,0,0,0,0,0,0,0
 Refractive errors,0,0,0,0,0,0,0
 Macular degeneration,0,0,0,0,0,0,0
 Other vision loss,0,0,0,0,0,0,0
 Other hearing loss,0,0,0,0,0,0,0
 other sense organ disorders,0,0,0,0,0,0,0
 Cardiovascular diseases,176.4,10.4,27.6,108.7,573.5,1709.4,8000.5
 Rheumatic heart disease,5.8,1.3,3.1,7.2,21.5,51.3,197.2
 Hypertensive heart disease,13.9,0.4,1.1,6.9,43.4,144.2,653.1
 Ischaemic heart disease,81.4,2.4,9.1,51.6,294.7,825.7,3631.2
 Stroke,54.6,3.7,8.1,26.2,147.9,508.4,2677.3
" Cardiomyopathy, myocarditis, endocarditis",7.2,1.4,2.9,7.5,27,66.6,236.3
 Other circulatory diseases,13.5,1.2,3.3,9.4,39.1,113.2,605.4
 Respiratory diseases,27.9,2.6,3.9,12,71.9,282.9,1282.4
 Chronic obstructive pulmonary disease,17,0.7,1.2,4.9,39.5,180.4,841.2
 Asthma,5,1,1.3,3.6,16.5,49.7,203.9
 Other respiratory diseases,5.9,1,1.5,3.5,15.9,53,237.3
 Digestive diseases,27.3,4.8,7.9,34.9,145.7,304.3,754.6
 Peptic ulcer disease,3.1,0.7,1.6,3.9,11.5,26.3,104.5
 Cirrhosis of the liver,15.8,2,3,21.6,102.5,202.9,364.5
 Appendicitis,0.4,0.3,0.3,0.5,1.1,2.7,7.1
 Other digestive diseases,8.1,1.8,3,8.9,30.6,72.4,278.5
 Genitourinary diseases,16.6,5,5.6,14.6,61.2,157.2,558.2
 Kidney diseases,12.6,4.5,4.3,11.3,49.4,123.5,399.7
 Hyperplasia of prostate,0,0,0,0,0,0,0
 Urolithiasis,0.3,0,0,0.2,1,2.6,11.7
 Other genitourinary diseases,3.6,0.4,1,2.7,10.6,30.6,144.9
 Infertility,0,0,0,0,0,0,0
 Gynecological diseases,0.1,0,0.1,0.3,0.3,0.6,1.9
 Skin diseases,1.5,0.4,0.7,1.5,4.4,10.2,47.8
 Musculoskeletal diseases,1.3,0.7,1.2,1.8,5.2,9.4,37.6
 Rheumatoid arthritis,0.5,0.2,0.2,0.5,2.1,3.9,15.2
 Osteoarthritis,0,0,0,0,0,0,0
 Gout,0,0,0,0,0,0,0
 Back and neck pain,0,0,0,0,0,0,0
 Other musculoskeletal disorders,0.9,0.5,1,1.3,3.2,5.6,22.2
 Congenital anomalies,12.5,5.6,2.4,1.6,4.9,14.3,62.6
 Neural tube defects,1.9,0.8,0.2,0.2,0.4,0.9,4
 Cleft lip and cleft palate,0.1,0,0,0,0,0,0
 Down's syndrome,0.3,0.2,0.2,0.2,0.4,0.8,0.4
 Congenital heart anomalies,5.1,2.3,1.1,0.7,1.8,5.9,34.2
 Other chromosomal anomalies,0.4,0.2,0,0,0.1,0.4,0.6
 Other congenital anomalies,4.7,2.2,0.8,0.6,2.3,6.1,23.5
