"","","Projection of deaths per 100 000 population","Projection of deaths per 100 000 population","Projection of deaths per 100 000 population","Projection of deaths per 100 000 population","Projection of deaths per 100 000 population","Projection of deaths per 100 000 population","Projection of deaths per 100 000 population","Projection of deaths per 100 000 population","Projection of deaths per 100 000 population","Projection of deaths per 100 000 population","Projection of deaths per 100 000 population","Projection of deaths per 100 000 population","Projection of deaths per 100 000 population","Projection of deaths per 100 000 population","Projection of deaths per 100 000 population","Projection of deaths per 100 000 population","Projection of deaths per 100 000 population","Projection of deaths per 100 000 population","Projection of deaths per 100 000 population","Projection of deaths per 100 000 population","Projection of deaths per 100 000 population","Projection of deaths per 100 000 population","Projection of deaths per 100 000 population","Projection of deaths per 100 000 population","Projection of deaths per 100 000 population","Projection of deaths per 100 000 population","Projection of deaths per 100 000 population","Projection of deaths per 100 000 population","Projection of deaths per 100 000 population","Projection of deaths per 100 000 population"
"",""," 2030"," 2030"," 2030"," 2030"," 2030"," 2030"," 2030"," 2030"," 2030"," 2030"," 2030"," 2030"," 2030"," 2030"," 2030"," 2015"," 2015"," 2015"," 2015"," 2015"," 2015"," 2015"," 2015"," 2015"," 2015"," 2015"," 2015"," 2015"," 2015"," 2015"
"",""," Both sexes"," Female"," Female"," Female"," Female"," Female"," Female"," Female"," Male"," Male"," Male"," Male"," Male"," Male"," Male"," Both sexes"," Female"," Female"," Female"," Female"," Female"," Female"," Female"," Male"," Male"," Male"," Male"," Male"," Male"," Male"
"Region","Causes"," All ages (total) years"," 0-4 years"," 5-14 years"," 15-29  years"," 30-49 years"," 50-69 years"," 70+  years"," All ages (total) years"," 0-4 years"," 5-14 years"," 15-29  years"," 30-49 years"," 50-69 years"," 70+  years"," All ages (total) years"," All ages (total) years"," 0-4 years"," 5-14 years"," 15-29  years"," 30-49 years"," 50-69 years"," 70+  years"," All ages (total) years"," 0-4 years"," 5-14 years"," 15-29  years"," 30-49 years"," 50-69 years"," 70+  years"," All ages (total) years"
"Eastern Mediterranean Region"," All Causes","647","881","71","99","204","950","6629","609","971","79","158","289","1269","7342","685","622","1124","92","118","231","1078","7359","577","1245","100","171","313","1461","8334","665"
"Eastern Mediterranean Region"," Communicable &amp; other Group I","130","652","21","28","44","90","698","127","735","19","16","46","111","747","133","191","896","42","44","70","144","929","185","997","39","26","71","196","1053","197"
"Eastern Mediterranean Region"," Infectious and parasitic diseases","49","144","15","12","26","52","264","46","146","14","12","38","74","312","52","77","237","31","20","40","89","386","71","242","29","20","61","143","508","84"
"Eastern Mediterranean Region"," Tuberculosis","8","1","0","1","4","12","28","5","1","0","1","9","29","84","10","13","2","0","3","9","26","71","8","2","0","3","18","68","206","18"
"Eastern Mediterranean Region"," STDs excluding HIV","1","8","0","0","0","0","2","1","7","0","0","0","0","1","1","2","13","0","0","0","0","2","2","12","0","0","0","0","2","2"
"Eastern Mediterranean Region"," Syphilis","1","8","0","0","0","0","0","1","7","0","0","0","0","1","1","2","13","0","0","0","0","0","2","12","0","0","0","0","2","2"
"Eastern Mediterranean Region"," Chlamydia","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
