"","","Projection of deaths per 100 000 population","Projection of deaths per 100 000 population","Projection of deaths per 100 000 population","Projection of deaths per 100 000 population","Projection of deaths per 100 000 population","Projection of deaths per 100 000 population","Projection of deaths per 100 000 population","Projection of deaths per 100 000 population","Projection of deaths per 100 000 population","Projection of deaths per 100 000 population","Projection of deaths per 100 000 population","Projection of deaths per 100 000 population","Projection of deaths per 100 000 population","Projection of deaths per 100 000 population","Projection of deaths per 100 000 population","Projection of deaths per 100 000 population","Projection of deaths per 100 000 population","Projection of deaths per 100 000 population","Projection of deaths per 100 000 population","Projection of deaths per 100 000 population","Projection of deaths per 100 000 population","Projection of deaths per 100 000 population","Projection of deaths per 100 000 population","Projection of deaths per 100 000 population","Projection of deaths per 100 000 population","Projection of deaths per 100 000 population","Projection of deaths per 100 000 population","Projection of deaths per 100 000 population","Projection of deaths per 100 000 population","Projection of deaths per 100 000 population"
"",""," 2030"," 2030"," 2030"," 2030"," 2030"," 2030"," 2030"," 2030"," 2030"," 2030"," 2030"," 2030"," 2030"," 2030"," 2030"," 2015"," 2015"," 2015"," 2015"," 2015"," 2015"," 2015"," 2015"," 2015"," 2015"," 2015"," 2015"," 2015"," 2015"," 2015"
"",""," Both sexes"," Female"," Female"," Female"," Female"," Female"," Female"," Female"," Male"," Male"," Male"," Male"," Male"," Male"," Male"," Both sexes"," Female"," Female"," Female"," Female"," Female"," Female"," Female"," Male"," Male"," Male"," Male"," Male"," Male"," Male"
"Region","Causes"," All ages (total) years"," 0-4 years"," 5-14 years"," 15-29  years"," 30-49 years"," 50-69 years"," 70+  years"," All ages (total) years"," 0-4 years"," 5-14 years"," 15-29  years"," 30-49 years"," 50-69 years"," 70+  years"," All ages (total) years"," All ages (total) years"," 0-4 years"," 5-14 years"," 15-29  years"," 30-49 years"," 50-69 years"," 70+  years"," All ages (total) years"," 0-4 years"," 5-14 years"," 15-29  years"," 30-49 years"," 50-69 years"," 70+  years"," All ages (total) years"
"South-East Asia Region"," All Causes","843","661","55","104","210","1158","7104","802","631","57","155","357","1642","7925","883","773","1017","84","142","270","1363","7705","726","976","84","176","441","1929","8819","819"
"South-East Asia Region"," Communicable &amp; other Group I","136","502","21","25","36","115","1094","145","489","14","16","42","137","967","127","195","830","45","47","71","192","1367","198","803","35","30","90","254","1357","192"
"South-East Asia Region"," Infectious and parasitic diseases","71","87","17","16","25","83","655","76","74","11","14","38","101","527","66","104","196","37","31","53","148","857","103","168","28","27","83","205","833","106"
"South-East Asia Region"," Tuberculosis","10","1","0","1","4","11","28","6","1","0","2","10","33","91","14","21","2","1","4","12","32","81","13","3","1","5","27","90","268","30"
"South-East Asia Region"," STDs excluding HIV","0","3","0","0","0","0","1","0","2","0","0","0","0","0","0","1","6","0","0","0","0","1","1","5","0","0","0","0","1","1"
"South-East Asia Region"," Syphilis","0","3","0","0","0","0","0","0","2","0","0","0","0","0","0","1","6","0","0","0","0","0","1","5","0","0","0","0","1","1"
"South-East Asia Region"," Chlamydia","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
