"","","Projection of deaths per 100 000 population","Projection of deaths per 100 000 population","Projection of deaths per 100 000 population","Projection of deaths per 100 000 population","Projection of deaths per 100 000 population","Projection of deaths per 100 000 population","Projection of deaths per 100 000 population","Projection of deaths per 100 000 population","Projection of deaths per 100 000 population","Projection of deaths per 100 000 population","Projection of deaths per 100 000 population","Projection of deaths per 100 000 population","Projection of deaths per 100 000 population","Projection of deaths per 100 000 population","Projection of deaths per 100 000 population","Projection of deaths per 100 000 population","Projection of deaths per 100 000 population","Projection of deaths per 100 000 population","Projection of deaths per 100 000 population","Projection of deaths per 100 000 population","Projection of deaths per 100 000 population","Projection of deaths per 100 000 population","Projection of deaths per 100 000 population","Projection of deaths per 100 000 population","Projection of deaths per 100 000 population","Projection of deaths per 100 000 population","Projection of deaths per 100 000 population","Projection of deaths per 100 000 population","Projection of deaths per 100 000 population","Projection of deaths per 100 000 population"
"",""," 2030"," 2030"," 2030"," 2030"," 2030"," 2030"," 2030"," 2030"," 2030"," 2030"," 2030"," 2030"," 2030"," 2030"," 2030"," 2015"," 2015"," 2015"," 2015"," 2015"," 2015"," 2015"," 2015"," 2015"," 2015"," 2015"," 2015"," 2015"," 2015"," 2015"
"",""," Both sexes"," Female"," Female"," Female"," Female"," Female"," Female"," Female"," Male"," Male"," Male"," Male"," Male"," Male"," Male"," Both sexes"," Female"," Female"," Female"," Female"," Female"," Female"," Female"," Male"," Male"," Male"," Male"," Male"," Male"," Male"
"Region","Causes"," All ages (total) years"," 0-4 years"," 5-14 years"," 15-29  years"," 30-49 years"," 50-69 years"," 70+  years"," All ages (total) years"," 0-4 years"," 5-14 years"," 15-29  years"," 30-49 years"," 50-69 years"," 70+  years"," All ages (total) years"," All ages (total) years"," 0-4 years"," 5-14 years"," 15-29  years"," 30-49 years"," 50-69 years"," 70+  years"," All ages (total) years"," 0-4 years"," 5-14 years"," 15-29  years"," 30-49 years"," 50-69 years"," 70+  years"," All ages (total) years"
"Western Pacific Region"," All Causes","842","185","18","49","111","576","4690","788","205","21","78","172","934","5978","895","697","281","24","65","146","735","5729","662","307","28","96","222","1093","6997","731"
"Western Pacific Region"," Communicable &amp; other Group I","56","111","3","7","12","17","316","54","128","3","7","21","32","364","58","56","189","6","10","15","26","371","52","211","6","8","29","51","440","60"
"Western Pacific Region"," Infectious and parasitic diseases","16","13","3","4","9","9","51","13","15","3","6","19","20","63","19","20","27","4","6","11","16","68","15","29","4","7","26","37","98","25"
"Western Pacific Region"," Tuberculosis","3","0","0","0","1","2","6","2","0","0","0","2","5","17","4","5","0","0","1","2","5","16","3","0","0","1","5","15","44","7"
"Western Pacific Region"," STDs excluding HIV","0","1","0","0","0","0","1","0","1","0","0","0","0","0","0","0","1","0","0","0","0","1","0","1","0","0","0","0","0","0"
"Western Pacific Region"," Syphilis","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0"
"Western Pacific Region"," Chlamydia","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
