Causes, All ages (total) years,5-14 years,15-29  years,30-49 years,50-59  years,60-69  years,70+  years
 All Causes,750.5,183.5,328.1,713,2090.3,5332,16477.5
 Communicable &amp; other Group I,200.9,88.8,85.8,180.9,306.5,731.4,2575.3
 Infectious and parasitic diseases,104.4,69,63.8,153.2,252.7,542.9,1448.3
 Tuberculosis,24.5,0.4,11,47.1,95.1,220.7,431.4
 STDs excluding HIV,1.1,0.3,0.1,0.2,0.3,0.6,1.9
 Syphilis,1.1,0.3,0,0.1,0.1,0.4,1
 Chlamydia,0,0,0,0,0,0.1,0.2
 Gonorrhoea,0,0,0,0,0,0,0.2
 Trichomoniasis,0,0,0,0,0,0,0
 Other STDs,0,0,0.1,0.1,0.1,0.1,0.5
 HIV/AIDS,10.8,3,12.7,53.8,22.5,5.1,0.6
 Diarrhoeal diseases,35.5,22.6,14,20.9,68.3,184.2,685.2
 Childhood-cluster diseases,4.9,9.1,1.3,0.8,1.7,2.7,5.2
 Whooping cough,0.5,0.7,0.2,0,0,0,0
 Diphtheria,0,0,0,0,0,0,0
 Measles,3.1,7.3,0.7,0.2,0.3,0.8,0.3
 Tetanus,1.2,1.1,0.4,0.5,1.1,1.9,4.9
 Meningitis,4,5.4,3,3.2,6.4,12.5,32.8
 Encephalitis,2.4,3.8,2.4,1.9,3.7,6.9,14
 Acute hepatitis B,4,4.5,4.9,6.3,13.7,22.6,44.3
 Acute hepatitis C,0.4,0.4,0.4,0.9,1.6,2.7,5.8
 Parasitic and vector diseases,5.5,7,5.2,7.4,15.3,26.7,52.9
 Malaria,2.3,1.5,1.9,3.1,6.6,10.9,19.7
 Trypanosomiasis,0,0,0,0,0,0,0
 Chagas disease,0,0,0,0,0,0,0
 Schistosomiasis,0,0,0,0,0,0,0
 Leishmaniasis,1.4,2.9,1.9,2.1,3.1,3.8,6.1
 Lymphatic filariasis,0,0,0,0,0,0,0
 Onchocerciasis,0,0,0,0,0,0,0
 Leprosy,0.3,0,0,0.4,1.8,4.3,6.4
 Dengue,0.9,0.9,0.7,0.9,2.3,5.3,17
 Trachoma,0,0,0,0,0,0,0
 Rabies,0.6,1.6,0.7,0.9,1.5,2.3,3.9
 Intestinal nematode infections,0.1,0,0,0,0.3,0.6,1.6
 Ascariasis,0.1,0,0,0,0.3,0.6,1.6
 Trichuriasis,0,0,0,0,0,0,0
 Hookworm disease,0,0,0,0,0,0,0
 Other infectious diseases,11.2,12.5,8.6,10.6,23.8,57.6,172.8
 Respiratory infections,41.1,17.9,5.5,11.5,47.9,169.4,1037.4
 Lower respiratory infections,41.1,17.9,5.5,11.5,47.8,169.2,1036.3
 Upper respiratory infections,0,0,0,0,0,0.2,0.7
 Otitis media,0,0,0,0,0,0.2,0.4
 Maternal conditions,3.8,0,15.1,13.8,0,0,0
 Neonatal conditions,47.5,0,0,0,0,0,0
 Preterm birth complications,24.9,0,0,0,0,0,0
 Birth asphyxia and birth trauma,11.2,0,0,0,0,0,0
 Neonatal sepsis and infections,8,0,0,0,0,0,0
 Other neonatal conditions,3.4,0,0,0,0,0,0
 Nutritional deficiencies,4.1,1.8,1.3,2.3,6,18.9,89.6
 Protein-energy malnutrition,3.8,1.7,1,2.1,5.3,17,81.4
 Iodine deficiency,0,0,0,0,0,0.1,0.4
 Vitamin A deficiency,0,0,0,0,0,0,0
 Iron-deficiency anaemia,0.3,0.2,0.3,0.3,0.5,1.7,6.8
 Other nutritional deficiencies,0,0,0,0,0,0.2,0.9
 Noncommunicable diseases,464.3,40.6,95.2,378.9,1577.4,4252.2,12879.3
 Malignant neoplasms,63.9,6.9,13.3,96.3,329.8,630.7,1112.4
 Mouth and oropharynx cancers,6.9,0.2,1,11.6,40.3,71.1,101
 Oesophagus cancer,3.4,0,0.2,4.4,19.4,37.4,61.3
 Stomach cancer,4.5,0,0.8,6.4,24.1,50.3,79.2
 Colon and rectum cancers,4.6,0,1.2,6.3,20.1,44.7,99.7
 Liver cancer,4.2,0.3,0.4,5.3,21.1,43.6,84.4
 Pancreas cancer,1.2,0,0,1.2,6,12,27.4
" Trachea, bronchus, lung cancers",8,0,0.3,7.2,40.2,99.3,173
 Melanoma and other skin cancers,0.2,0,0,0.3,0.7,2.6,5.8
 Breast cancer,6,0,0.8,16.1,36.1,44.4,55.6
 Cervix uteri cancer,5.1,0,0.5,11.8,34.6,43.7,48.5
 Corpus uteri cancer,0.4,0,0,0.4,3.1,4.9,7.2
 Ovary cancer,1.8,0,0.5,3.5,11.3,16.8,18.2
 Prostate cancer,1.4,0,0,0.1,1.5,10.9,68.9
