Causes, All ages (total) years,5-14 years,15-29  years,30-49 years,50-59  years,60-69  years,70+  years
 All Causes,702.6,69.2,134.1,337.2,1170.4,3111.3,13480.9
 Communicable &amp; other Group I,57,13.3,17.2,36.9,57,115.8,791.5
 Infectious and parasitic diseases,19.9,9.4,11.8,29.7,42.5,64.4,168.6
 Tuberculosis,5.9,0.4,3,9.1,17.6,28.9,62.3
 STDs excluding HIV,0.2,0.1,0.1,0.1,0.2,0.4,1
 Syphilis,0.2,0,0,0,0.1,0.2,0.5
 Chlamydia,0,0,0,0,0,0,0.1
 Gonorrhoea,0,0,0,0,0,0,0.1
 Trichomoniasis,0,0,0,0,0,0,0
 Other STDs,0,0,0,0,0.1,0.1,0.4
 HIV/AIDS,3.2,0.4,3.9,13.8,6.8,1.6,0.2
 Diarrhoeal diseases,2,0.7,0.4,0.5,1,2.4,16
 Childhood-cluster diseases,0.5,0.7,0.1,0,0.2,0.2,0.5
 Whooping cough,0.3,0,0,0,0,0,0
 Diphtheria,0,0,0,0,0,0,0
 Measles,0.1,0.6,0,0,0,0,0
 Tetanus,0.1,0,0,0,0.1,0.2,0.5
 Meningitis,1,1,0.6,0.6,1.2,1.8,4.9
 Encephalitis,0.1,0,0,0.1,0.1,0.2,0.4
 Acute hepatitis B,2.3,0.1,0.4,2.5,9.1,14.9,22.4
 Acute hepatitis C,0.4,0,0,0.1,0.7,1.8,7.2
 Parasitic and vector diseases,1,1.9,1,0.9,1.9,2.8,5.2
 Malaria,0.2,0.2,0.2,0.2,0.3,0.2,0.3
 Trypanosomiasis,0,0,0,0,0,0,0
 Chagas disease,0,0,0,0,0.1,0,0.1
 Schistosomiasis,0.1,0,0,0,0.2,0.3,0.9
 Leishmaniasis,0.1,0.2,0.1,0.1,0.2,0.2,0.3
 Lymphatic filariasis,0,0,0,0,0,0,0
 Onchocerciasis,0,0,0,0,0,0,0
 Leprosy,0.1,0,0,0,0.2,0.3,1
 Dengue,0.4,1,0.5,0.3,0.3,0.5,1.1
 Trachoma,0,0,0,0,0,0,0
 Rabies,0.2,0.4,0.2,0.2,0.6,1.3,1.6
 Intestinal nematode infections,0,0,0,0,0,0,0.1
 Ascariasis,0,0,0,0,0,0,0.1
 Trichuriasis,0,0,0,0,0,0,0
 Hookworm disease,0,0,0,0,0,0,0
 Other infectious diseases,3.4,3.9,2.2,2,3.8,9.1,48.4
 Respiratory infections,25.2,3,2.5,3.9,12.4,46.5,590.4
 Lower respiratory infections,25.1,3,2.4,3.8,12.3,46.2,588.8
 Upper respiratory infections,0.1,0,0,0,0.1,0.2,1.5
 Otitis media,0,0,0,0,0,0.1,0
 Maternal conditions,0.6,0,2.4,2.4,0,0,0
 Neonatal conditions,9.6,0.1,0,0,0,0,0
 Preterm birth complications,3.7,0,0,0,0,0,0
 Birth asphyxia and birth trauma,3.1,0,0,0,0,0,0
 Neonatal sepsis and infections,0.9,0.1,0,0,0,0,0
 Other neonatal conditions,2,0,0,0,0,0,0
 Nutritional deficiencies,1.7,0.6,0.6,0.9,2,4.8,32.6
 Protein-energy malnutrition,0.9,0.4,0.2,0.4,0.7,1.7,17.1
 Iodine deficiency,0,0,0,0,0,0,0.1
 Vitamin A deficiency,0,0,0,0,0,0,0.1
 Iron-deficiency anaemia,0.7,0.2,0.3,0.4,1.2,2.9,11.1
 Other nutritional deficiencies,0.2,0.1,0,0,0.2,0.3,4
 Noncommunicable diseases,590.7,27.4,50.5,219.9,987,2805.4,12201.9
 Malignant neoplasms,157.2,7.7,14.8,96,410.2,886.3,2679
 Mouth and oropharynx cancers,3,0.2,0.5,3.1,10.7,19.2,36.5
 Oesophagus cancer,11.8,0,0.2,2.9,30.3,81.3,210.7
 Stomach cancer,21.9,0,0.6,8.8,51.8,130.9,409.7
 Colon and rectum cancers,11.9,0,0.6,4.9,23.5,58.8,239
 Liver cancer,25,0.8,2.2,25.5,86.4,138,339
 Pancreas cancer,5.7,0,0.2,1.8,12.7,35.8,105.7
" Trachea, bronchus, lung cancers",39.7,0,0.7,14.5,91.9,231.7,767.3
 Melanoma and other skin cancers,1,0,0.2,0.6,1.9,4.6,19.2
 Breast cancer,4.5,0,0.4,7.5,20.1,24.8,36.1
 Cervix uteri cancer,2.2,0,0.4,4.2,9,11,17.9
 Corpus uteri cancer,1.2,0,0.1,1.4,5.2,7.6,11.1
 Ovary cancer,1.3,0,0.3,1.7,5.7,8.1,12
 Prostate cancer,2.4,0,0,0.1,1.1,7.2,74.1
 Bladder cancer,2.1,0,0,0.3,2.1,7.4,54.5
" Lymphomas, multiple myeloma",3.4,0.5,1,2.4,8.4,19.4,52.8
 Leukaemia,4.1,3.5,3.9,5,9.5,16.9,39.2
 Other malignant neoplasms,15.9,2.7,3.7,11.5,40,83.6,254.1
 Other neoplasms,2.9,0.4,0.6,2.1,6.7,15.7,47.2
 Diabetes mellitus,17.2,0.1,1.1,5.9,35.4,109.4,310.4
" Endocrine, blood, immune disorders",2.5,1.3,1.4,1.9,4.5,9.9,40.1
 Mental and behavioral disorders,1.9,0.6,1.4,3.1,5.5,8.1,16.9
 Unipolar depressive disorders,0,0,0,0,0,0,0.4
 Bipolar disorder,0,0,0,0,0,0,0
 Schizophrenia,0.6,0,0.2,1,1.9,3.2,5.6
 Alcohol use disorders,0.5,0,0.2,0.9,2,2.6,2.5
 Drug use disorders,0.5,0.3,0.9,1,1.2,1.3,3.1
 Anxiety disorders,0,0,0,0,0,0,0
 Eating disorders,0.1,0,0.1,0.1,0.1,0.2,1.4
 Pervasive developmental disorders,0,0,0,0,0,0,0
 Childhood behavioural disorders,0,0,0,0,0,0,0
 Idiopathic intellectual disability,0,0,0,0,0,0,0
 Other mental and behavioural disorders,0.2,0.1,0,0.1,0.3,0.7,3.6
 Neurological conditions,10.1,3.8,3.7,3.4,8.7,26,230.2
 Alzheimer's disease and other dementias,6,0.4,0.2,0.4,2.2,10.6,169.9
 Parkinson's disease,1.3,0,0,0.1,0.8,3.9,33.6
 Epilepsy,1.1,2.1,2.3,1.6,1.9,2.8,6.1
 Multiple sclerosis,0.1,0,0,0.2,0.5,0.7,1
 Migraine,0,0,0,0,0,0,0
 Non-migraine headache,0,0,0,0,0,0,0
 Other neurological conditions,1.6,1.4,1,1.2,3.3,8,19.6
 Sense organ diseases,0,0,0,0,0,0,0
 Glaucoma,0,0,0,0,0,0,0
 Cataracts,0,0,0,0,0,0,0
 Refractive errors,0,0,0,0,0,0,0
 Macular degeneration,0,0,0,0,0,0,0
 Other vision loss,0,0,0,0,0,0,0
 Other hearing loss,0,0,0,0,0,0,0
 other sense organ disorders,0,0,0,0,0,0,0
 Cardiovascular diseases,291.2,4.6,14.6,76.3,393.7,1342.3,6468.8
 Rheumatic heart disease,4.2,0.4,1.1,2.9,9.9,23.9,66
 Hypertensive heart disease,16.2,0,0.4,3.5,18.4,68,377.6
 Ischaemic heart disease,99.3,0.7,4.7,27.1,133.5,450.4,2209.4
 Stroke,146.5,1.2,4.3,34,203.8,712.1,3246.8
" Cardiomyopathy, myocarditis, endocarditis",3.9,0.9,1.5,2.6,7.1,19.6,64.6
 Other circulatory diseases,21.2,1.4,2.7,6.3,21,68.3,504.4
 Respiratory diseases,70.6,1.6,2.3,7,48.1,242.3,1845
 Chronic obstructive pulmonary disease,59.5,0.2,0.6,3.6,36.3,206.8,1581.5
 Asthma,2.9,0.6,0.8,1.5,4.7,12.5,56.9
 Other respiratory diseases,8.2,0.8,1.1,1.9,7.1,22.9,206.6
 Digestive diseases,18.7,0.9,2.6,13.1,46.1,99.3,309.1
 Peptic ulcer disease,2.4,0.1,0.3,1.1,4.6,12.1,47.9
 Cirrhosis of the liver,7.8,0.2,0.9,8.3,30,52.3,81.8
 Appendicitis,0.2,0.2,0.2,0.2,0.5,1,3.7
 Other digestive diseases,8.3,0.4,1.2,3.4,10.9,33.8,175.8
 Genitourinary diseases,11,1.3,3.2,7.6,21.3,52,195.6
 Kidney diseases,8.4,1,2.5,5.9,16.6,40.3,144.8
 Hyperplasia of prostate,0.1,0,0,0,0,0.2,3.4
 Urolithiasis,0.3,0.1,0,0.2,0.8,1.8,6.3
 Other genitourinary diseases,2,0.3,0.5,1.1,3.3,8.8,39.5
 Infertility,0,0,0,0,0,0,0
 Gynecological diseases,0.2,0,0.1,0.3,0.6,0.9,1.6
 Skin diseases,0.7,0,0.2,0.4,0.8,1.9,14.4
 Musculoskeletal diseases,2.5,0.5,1.6,1.9,4.7,10.1,41.2
 Rheumatoid arthritis,0.8,0.1,0.1,0.3,1.6,4.4,15.3
 Osteoarthritis,0,0,0,0,0,0,0.5
 Gout,0,0,0,0,0,0,0.1
 Back and neck pain,0,0,0,0,0,0.1,1.2
 Other musculoskeletal disorders,1.6,0.5,1.4,1.5,3,5.6,24
 Congenital anomalies,4.1,4.2,2.9,1.2,1.4,2,4.1
 Neural tube defects,0.3,0.2,0,0,0,0,0.2
 Cleft lip and cleft palate,0,0,0,0,0,0,0
 Down's syndrome,0.1,0.1,0.1,0,0.2,0.2,0
 Congenital heart anomalies,2.6,3.1,2.4,0.9,0.7,0.7,1.6
